"hashtags/0","hashtags/1","isCommentsDisabled","isSponsored","alt","commentsCount","likesCount","caption","displayUrl","id","locationName","ownerFullName","ownerId","ownerUsername","shortCode","timestamp","type","videoDuration","videoPlayCount","videoViewCount","productType","videoUrl","url","inputUrl"
,,"false","false","Photo shared by SPORF on September 08, 2025 tagging @brunofernandes8. May be an image of 1 person, playing football, playing soccer, playing cricket, stadium and text that says 'SPORF UNITED ST NO room or racism pdraoi BRUNO FERNANDES 294 GAMES 99 GOALS 86 ASSISTS'.","20","2402","Happy Birthday to Manchester United’s Portuguese magnifico! ⚽️🪄🇵🇹","https://scontent-iad3-2.cdninstagram.com/v/t51.2885-15/543641440_18582758044012301_8889694467350030923_n.webp?stp=dst-jpg_e35_p1080x1080_sh0.08_tt6&_nc_ht=scontent-iad3-2.cdninstagram.com&_nc_cat=105&_nc_oc=Q6cZ2QEoVKKNyzIcJZQda7FNGJVi_ArJcMv0I6iMbfijJk1h9Zen8mXDRMx0UfQ2DcnSxM4&_nc_ohc=Ht-q_0yhISYQ7kNvwHRVEuZ&_nc_gid=NbuASlQYpxWliF_ngtwpjA&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfbTQkKRL8oDV5LPYMgHAhE2bVri4yTjTiT2_Y8lp9w4tA&oe=68C743B8&_nc_sid=10d13b","3717223580267857427",,"SPORF","689484300","sporf","DOWOybMkkYT","2025-09-08T16:06:43.000Z","Image",,,,,,"https://www.instagram.com/p/DOWOybMkkYT/","https://www.instagram.com/sporf/"
,,"false","false","Photo by SPORF on September 10, 2025. May be an image of 7 people, people playing football, people playing soccer and text that says 'CONMEBOL WORLD TEAM SPORF QUALIFIERS 1 P PWDLPTS D DAIE ARGENTINA( 2 18 12 2 ECUADOR (Q) 3 18 8 4 COLOMBIA(Q) (Q) 18 7 AUDEIS 7 URUGUAY (Q) 28 5 18 7 7 BRAZIL( (Q) 28 8 18 8 PARAGUAY (Q) 28 7 18 7 7 28 BOLIVIA(PO) (PO) 8 18 6 2 10 0OOOL VENEZUELA 20 18 4 PERU 6 18 10 18 2 6 CHILE 10 12 000O0 18251111 2 18 5 11 11 Beχη OLIDA ហ'.","37","3993","South America’s finest! 🌎⚽ Here’s how the CONMEBOL World Cup Qualifying table wrapped up.","https://scontent-mia3-3.cdninstagram.com/v/t51.2885-15/544150551_18583038253012301_1327548752891204395_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08_tt6&_nc_ht=scontent-mia3-3.cdninstagram.com&_nc_cat=1&_nc_oc=Q6cZ2QH3mJIALzhS6v9ZXChBGVqd027727bhN2shHNBUkqojfrrLRjaXKee3AnsqdlBr7Rc&_nc_ohc=fb45zgB5GFAQ7kNvwGY1mxo&_nc_gid=ljx0ALsjNwxCifYIAJaojg&edm=APs17CUBAAAA&ccb=7-5&oh=00_Afb4OFS9N7Y2SREV4AQPxEswaHcOtHckbp-oHxrYHW63AA&oe=68C765D2&_nc_sid=10d13b","3718428164504047558",,"SPORF","689484300","sporf","DOagrbsEk_G","2025-09-10T08:00:00.000Z","Image",,,,,,"https://www.instagram.com/p/DOagrbsEk_G/","https://www.instagram.com/sporf/"
,,"false","false","Photo by SPORF on September 10, 2025. May be an image of 4 people, people playing football, people playing soccer and text.","5","2077","From playing next to his idol Messi 🇦🇷✨… to wearing the legendary No.10 shirt in his absence. Franco Mastantuono’s dream is just beginning.","https://scontent-bos5-1.cdninstagram.com/v/t51.2885-15/544062369_18583022539012301_5237751794496100551_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08_tt6&_nc_ht=scontent-bos5-1.cdninstagram.com&_nc_cat=105&_nc_oc=Q6cZ2QG5Fv-Xh3A1-VHPWB5ZygCNjFeqLnqzicfU52cMKqYcclSKEU90f9AktNF7XZhuSHA&_nc_ohc=blwUbCIpzWsQ7kNvwF9uQ7C&_nc_gid=IOMGEKFuX4q0yuEQ2p8Ruw&edm=APs17CUBAAAA&ccb=7-5&oh=00_Afbs9rBJB1XM_bk8JF9yAR5YYQABKM0GtdspkKsprkM-fg&oe=68C77931&_nc_sid=10d13b","3718549329037930564",,"SPORF","689484300","sporf","DOa8Om9ErBE","2025-09-10T14:00:40.000Z","Image",,,,,,"https://www.instagram.com/p/DOa8Om9ErBE/","https://www.instagram.com/sporf/"
,,"false","false","Photo by SPORF on September 08, 2025. May be an image of 2 people, people playing football, people playing soccer, stadium and text that says 'SPORF FIFA 2022 Emirates FLY BETTER Emirates SET to DEPART REAL MADRID'.","26","9364","David Alaba and Antonio Rüdiger are set to leave Real Madrid next summer as free agents reports @diarioas. ✍️⚽️","https://scontent-lax3-1.cdninstagram.com/v/t51.2885-15/545031928_18582765274012301_3053941315791710107_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08_tt6&_nc_ht=scontent-lax3-1.cdninstagram.com&_nc_cat=105&_nc_oc=Q6cZ2QGAILHG2gWE5XYYS0J1OnbNGs2pLMkfZLQfsexGOLlqxVosjRfDESIMeabI2u0UADY&_nc_ohc=4UIhwzuIhs0Q7kNvwEVQfd2&_nc_gid=5mW4JAFNO7mS3P7ZpZN4Sw&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfZ5avGjKYOw532wHRukR_QBErZAU0Vp2aFE5QYt4iXfLw&oe=68C75F54&_nc_sid=10d13b","3717280799004976819",,"SPORF","689484300","sporf","DOWbzETEmaz","2025-09-08T18:00:00.000Z","Image",,,,,,"https://www.instagram.com/p/DOWbzETEmaz/","https://www.instagram.com/sporf/"
,,"false","false","Photo by SPORF on September 09, 2025. May be an image of 4 people, people playing football, people playing soccer, ball, poster, card and text that says 'SPORF PR0 NES CAM CAI 編 COPAAMERICA COPAA chile2.15 CHAMPIONS COPAAMERICA COPA AMERICA CENTENARIO ARI -USA2016- CHAMPIONS たたピケいク ದ್ 15 LIRaO RUSSIA2018 FAILED to QUALIFY FIFAWORLDCUP Qat_ar2022 FAILED to QUALIFY 2 FIFA FAILED to QUALIFY'.","210","16413","Chile really went from back to back Copa América champs 🇨🇱🏆 in 2015 & 2016… to missing out on 3 straight World Cups. 😳⚽️","https://scontent-sjc3-1.cdninstagram.com/v/t51.2885-15/543796182_18582879409012301_5276759262571093292_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08_tt6&_nc_ht=scontent-sjc3-1.cdninstagram.com&_nc_cat=105&_nc_oc=Q6cZ2QHpwXRiDBUUKn70E32Y1EtPPgYG_Pzhj3-ds6umzHdAwSXexkFTyQHOZgNiMGnCOn0&_nc_ohc=A9Yno68UZdQQ7kNvwHxS75Y&_nc_gid=btbSvWx0L0zAULDQQzccVw&edm=APs17CUBAAAA&ccb=7-5&oh=00_Afb7h4byMENz_VNJGfbha1LeUwGuH398Vw3AWF1eK3tumw&oe=68C755DD&_nc_sid=10d13b","3717824224607470743",,"SPORF","689484300","sporf","DOYXW81EgSX","2025-09-09T12:00:00.000Z","Image",,,,,,"https://www.instagram.com/p/DOYXW81EgSX/","https://www.instagram.com/sporf/"
,,"false","false","Photo shared by SPORF on September 10, 2025 tagging @erling. May be an image of 1 person, playing football, playing soccer, stadium and text that says 'SPORF KOA ሥጥ PAm ERLING HAALAND 45 GAMES 48 GOALS 5 HAT-TRICKS'.","17","1775","Erling Haaland can’t stop scoring! ⚡ His goals are pushing Norway closer to the World Cup dream. 🇳🇴","https://scontent-lax3-1.cdninstagram.com/v/t51.2885-15/545329141_18583033582012301_2279544138963912736_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08_tt6&_nc_ht=scontent-lax3-1.cdninstagram.com&_nc_cat=1&_nc_oc=Q6cZ2QHTF2YWkaTk_xlZGTJIBcv0EU6SJe98CPMkjBAJsov5Zmygj0AWK54LlNc2ts5SbOY&_nc_ohc=1iJ5aQBRznIQ7kNvwFMSM3E&_nc_gid=6dRYp7ztM99ZUjJQ7XOjpw&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfYNXNyNbr9pDWFco2OmDIFnroX9_Wth9iERF6l-LMh2Fw&oe=68C74B97&_nc_sid=10d13b","3718488839590961373",,"SPORF","689484300","sporf","DOaueXxEuDd","2025-09-10T12:00:28.000Z","Image",,,,,,"https://www.instagram.com/p/DOaueXxEuDd/","https://www.instagram.com/sporf/"
,,"false","false","Photo by SPORF on September 09, 2025. May be an image of 1 person, playing football, playing soccer and text that says 'SPORF FIFA 6X 5X 5X 5X 4X 2X'.","2","1343","Happy Birthday to the evergreen Luka Modric! ⚽️⚪️🍰","https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/545321032_18582920980012301_8088876295212753444_n.webp?stp=dst-jpg_e35_p1080x1080_sh0.08_tt6&_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=105&_nc_oc=Q6cZ2QGjV4QiZePpxU02W6t_fPqd-PXIIk7QOhhYH8fq_6ubs23X2tervIfkLWBB73G9THU&_nc_ohc=VMIzq2Op8e0Q7kNvwGYqjdE&_nc_gid=qFcDbDL2mTY6NJcuobSPGA&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfYilcGVuXudqj55NuVPICVWRYxAzEIh1KbxcNFbgPEDYw&oe=68C74842&_nc_sid=10d13b","3717915020492962556",,"SPORF","689484300","sporf","DOYsANFknr8","2025-09-09T15:00:14.000Z","Image",,,,,,"https://www.instagram.com/p/DOYsANFknr8/","https://www.instagram.com/sporf/"
,,"false","false","Photo by SPORF on September 09, 2025. May be an image of 3 people, people playing football, people playing soccer and text.","49","15958","78th Ranked Bolivia defeats Former World Champions Brazil to Qualify for the World Cup after 32years 🙌🫡","https://instagram.ffsd3-1.fna.fbcdn.net/v/t51.2885-15/544738345_18583007746012301_7905284096209638266_n.heic?stp=dst-jpg_e35_p1080x1080_sh0.08_tt6&_nc_ht=instagram.ffsd3-1.fna.fbcdn.net&_nc_cat=1&_nc_oc=Q6cZ2QGQOPLOXI6HiUQrPMnFJHOjRYLe5jlulzu3N3Tb3OqibwUXbYOTR4UglHxblpcyZL8&_nc_ohc=So6dPaCBg7AQ7kNvwH51rMc&_nc_gid=_X9wnCtwwfL0O6PTisgq2w&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfY2ERFfD0dqjEdelhdA8dlh9nvYU8y5M0PkqKR4lBzqxw&oe=68C7578A&_nc_sid=10d13b","3718249949332373970",,"SPORF","689484300","sporf","DOZ4KD4EgHS","2025-09-10T02:05:56.000Z","Image",,,,,,"https://www.instagram.com/p/DOZ4KD4EgHS/","https://www.instagram.com/sporf/"
,,"false","false","Photo by SPORF on September 08, 2025. May be an image of 1 person, playing football, playing soccer, sports equipment, stadium and text that says 'SPORF FOREST ES FOREST e.on on SACKED'.","12","1973","Nottingham Forest part ways with Nuno Espirito Santo. ❌

Who will take charge at Forest next? ⚽️🌳","https://scontent-ord5-2.cdninstagram.com/v/t51.2885-15/542818618_18582858331012301_550814369443108546_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08_tt6&_nc_ht=scontent-ord5-2.cdninstagram.com&_nc_cat=105&_nc_oc=Q6cZ2QFOSolE1s3K1jKOXNhrS27WixUgk_jltERrBkBacIK4_l33jQ0z1SzFS66N0VzCTcY&_nc_ohc=9WDlRc6qfs8Q7kNvwEYqoe3&_nc_gid=hh1wZmagarOC2UUtigBdWg&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfafIkhiOBIAtsqdgGKGIHor7IHknqB6A_moh1ipB1cYyg&oe=68C76466&_nc_sid=10d13b","3717643102397303339",,"SPORF","689484300","sporf","DOXuLRoEoor","2025-09-09T06:00:00.000Z","Image",,,,,,"https://www.instagram.com/p/DOXuLRoEoor/","https://www.instagram.com/sporf/"
,,"false","false","Photo by SPORF on September 09, 2025. May be an image of 4 people, people playing football, people playing soccer, ball, sports equipment, stadium and text that says 'SPORF UEFAQUALIFIERS UEFA EFAQUALIFIERS CIA vs. UEFA UEFAQUALIFIERS vs. UEFAQUALIFIERS UEFA vs. +'.","1","1164","Some European and South American heavyweights return for WCQ action! ⚽️🌎","https://scontent-den2-1.cdninstagram.com/v/t51.2885-15/546608551_18582874591012301_4859634020258418556_n.jpg?stp=dst-jpg_e15_fr_p1080x1080_tt6&_nc_ht=scontent-den2-1.cdninstagram.com&_nc_cat=105&_nc_oc=Q6cZ2QHtfgmuKy1D8cpXMmDLa49-Z53j29nIENbaR2pE41991t228FxLNeUpzZM6Lp5FdAo&_nc_ohc=5drEmqInSbwQ7kNvwFz4pck&_nc_gid=LlXTv4ttbCz3f7iKpKBdAg&edm=APs17CUBAAAA&ccb=7-5&oh=00_Afa1VQI6mW3-knwvuIIvHuWTyhd2pMb5an7ZBNgFS3A9qA&oe=68C753A1&_nc_sid=10d13b","3717763821303139200",,"SPORF","689484300","sporf","DOYJn93kouA","2025-09-09T10:00:00.000Z","Sidecar",,,,,,"https://www.instagram.com/p/DOYJn93kouA/","https://www.instagram.com/sporf/"
